player_name,position,player_id,season,poss,mp,raptor_box_offense,raptor_box_defense,raptor_box_total,raptor_onoff_offense,raptor_onoff_defense,raptor_onoff_total,raptor_offense,raptor_defense,raptor_total,war_total,war_reg_season,war_playoffs,predator_offense,predator_defense,predator_total,pace_impact
Jrue Holiday,PG,holidjr01,2023,5086,2374,2.910950239,1.768381485,4.679331725,5.353841864,3.148623586,8.50246545,3.585546285,2.121102398,5.706648683,10.34577218,9.311424841,1.034347344,3.967933977,1.73576616,5.703700137,0.7153294816
Justin Holiday,SF,holidju01,2023,1536,706,-3.900829475,-2.364337745,-6.26516722,-5.233530797,-0.2678429531,-5.50137375,-4.434689821,-2.046272383,-6.480962204,-1.348927627,-1.348927627,0,-3.547563452,-2.701018214,-6.248581666,0.352398134
Richaun Holmes,PF,holmeri01,2023,743,348,-2.909259367,-5.32557567,-8.234835036,-6.667672127,-0.1664727454,-6.834144872,-3.89438266,-4.550678668,-8.445061328,-1.003805263,-1.003805263,0,-4.109639877,-4.952387548,-9.062027425,-0.7337390487
Al Horford,C,horfoal01,2023,5234,2539,-0.5078495522,2.161990177,1.654140625,1.951336719,1.004827327,2.956164045,-0.04508655465,2.017190161,1.972103606,6.184156057,3.962391237,2.22176482,-0.1621866906,2.262417155,2.100230465,-0.4449597538
Talen Horton-Tucker,SG,hortota01,2023,2830,1313,-0.8149855693,-0.6563030988,-1.471288668,-2.017866173,1.896439825,-0.1214263477,-1.118910888,-0.1356074302,-1.254518318,1.007317495,1.007317495,0,-1.356812175,-1.17054107,-2.527353245,0.5546746782
Danuel House Jr.,SF,houseda01,2023,1786,849,-2.035897303,-1.221939871,-3.257837174,-0.7828178888,-2.302923274,-3.085741163,-1.92300492,-1.536823882,-3.459828802,-0.3115142931,-0.1873459975,-0.1241682956,-2.054628715,-2.176442385,-4.2310711,-0.3760509665
Caleb Houstan,SF,houstca01,2023,1703,812,-1.770169685,-2.388623423,-4.158793108,-2.621497996,-0.8208970995,-3.442395096,-2.033357367,-2.197999235,-4.231356603,-0.6105695663,-0.6105695663,0,-2.738210034,-2.941445306,-5.67965534,-0.5148504502
Trevor Hudgins,PG,hudgitr01,2023,57,28,-4.618606039,-4.245518909,-8.864124949,-5.053331251,10.91055452,5.857223273,-4.862468331,-1.201900927,-6.064369258,-0.04688197194,-0.04688197194,0,-3.746486339,-5.046969512,-8.793455851,-0.9929329911
Kevin Huerter,SG,huertke01,2023,5006,2386,1.556724006,-1.775834802,-0.2191107962,2.729574719,-1.186328168,1.543246552,1.848317938,-1.743864647,0.1044532901,3.478602207,3.410859565,0.06774264288,2.218512735,-0.4796131491,1.738899585,-0.195613993
Jay Huff,C,huffja01,2023,214,95,1.838052107,-3.439292716,-1.601240609,2.863788884,-4.207285245,-1.343496361,2.181778435,-3.782936655,-1.60115822,0.05627695262,0.05627695262,0,2.186153353,-3.039386386,-0.8532330331,1.076240592
